n,Resultado,Tempo_Relogio(ms),Tempo_CPU_Usuario(ms),Tempo_CPU_Sistema(ms)
1367,Iteracao 1367,0.001855,0.0017,0.0016
1368,Iteracao 1368,0.003431,0.0031,0.0032
1369,Iteracao 1369,0.001748,0.0016,0.0016
1370,Iteracao 1370,0.001974,0.0018,0.0018
1371,Iteracao 1371,0.001716,0.0016,0.0015
1372,Iteracao 1372,0.002881,0.0026,0.0027
1373,Iteracao 1373,0.00191,0.0018,0.0017
1374,Iteracao 1374,0.00191,0.0018,0.0017
1375,Iteracao 1375,0.002363,0.0022,0.0021
1376,Iteracao 1376,0.007391,0.0068,0.0069
1377,Iteracao 1377,0.003464,0.0032,0.0031
1378,Iteracao 1378,0.00218,0.002,0.002
1379,Iteracao 1379,0.004381,0.004,0.004
1380,Iteracao 1380,0.007207,0.0067,0.0067
1381,Iteracao 1381,0.007067,0.0065,0.0066
1382,Iteracao 1382,0.006949,0.0065,0.0064
1383,Iteracao 1383,0.002492,0.0023,0.0022
1384,Iteracao 1384,0.00369,0.0034,0.0034
1385,Iteracao 1385,0.007434,0.0069,0.0069
1386,Iteracao 1386,0.001769,0.0016,0.0016
1387,Iteracao 1387,0.00192,0.0018,0.0017
1388,Iteracao 1388,0.00506,0.0047,0.0046
1389,Iteracao 1389,0.019271,0.0179,0.0179
1390,Iteracao 1390,0.007024,0.0066,0.0065
1391,Iteracao 1391,0.003227,0.003,0.0029
1392,Iteracao 1392,0.00177,0.0017,0.0016
1393,Iteracao 1393,0.001759,0.0017,0.0016
1394,Iteracao 1394,0.008998,0.0084,0.0084
1395,Iteracao 1395,0.002633,0.0024,0.0024
1396,Iteracao 1396,0.003464,0.0031,0.0032
1397,Iteracao 1397,0.001823,0.0017,0.0016
1398,Iteracao 1398,0.003335,0.003,0.0031
1399,Iteracao 1399,0.003291,0.003,0.003
1400,Iteracao 1400,0.002481,0.0023,0.0023
1401,Iteracao 1401,0.003183,0.003,0.0029
1402,Iteracao 1402,0.002158,0.002,0.0019
1403,Iteracao 1403,0.00205,0.0019,0.0019
1404,Iteracao 1404,0.00587,0.0055,0.0054
1405,Iteracao 1405,0.019098,0.0178,0.0178
1406,Iteracao 1406,0.020577,0.0192,0.0193
1407,Iteracao 1407,0.009883,0.0092,0.0092
1408,Iteracao 1408,0.002622,0.0023,0.0022
1409,Iteracao 1409,0.003949,0.0036,0.0036
1410,Iteracao 1410,0.018635,0.0173,0.0173
1411,Iteracao 1411,0.003086,0.0028,0.0025
1412,Iteracao 1412,0.004392,0.004,0.0041
1413,Iteracao 1413,0.010347,0.0097,0.0104
1414,Iteracao 1414,0.002093,0.0019,0.0019
1415,Iteracao 1415,0.003096,0.0027,0.0027
1416,Iteracao 1416,0.027817,0.026,0.0262
1417,Iteracao 1417,0.001791,0.0016,0.0015
1418,Iteracao 1418,0.01092,0.0103,0.0105
1419,Iteracao 1419,0.002978,0.0027,0.0027
1420,Iteracao 1420,0.018926,0.0176,0.0177
1421,Iteracao 1421,0.00205,0.0019,0.0019
1422,Iteracao 1422,0.004844,0.0043,0.0044
1423,Iteracao 1423,0.010153,0.0095,0.0066
1424,Iteracao 1424,0.003043,0.0028,0.0027
1425,Iteracao 1425,0.023587,0.0219,0.0218
1426,Iteracao 1426,0.002299,0.0021,0.0021
1427,Iteracao 1427,0.002579,0.0024,0.0023
1428,Iteracao 1428,0.00724,0.0067,0.0068
1429,Iteracao 1429,0.001921,0.0017,0.0017
1430,Iteracao 1430,0.005622,0.0044,0.0038
1431,Iteracao 1431,0.002212,0.002,0.002
1432,Iteracao 1432,0.002967,0.0027,0.0027
1433,Iteracao 1433,0.001802,0.0016,0.0016
1434,Iteracao 1434,0.006592,0.0061,0.0061
1435,Iteracao 1435,0.002504,0.0023,0.0022
1436,Iteracao 1436,0.00219,0.002,0.002
1437,Iteracao 1437,0.026187,0.0244,0.0244
1438,Iteracao 1438,0.003248,0.003,0.003
1439,Iteracao 1439,0.014405,0.0135,0.0137
1440,Iteracao 1440,0.002438,0.0022,0.0022
1441,Iteracao 1441,0.00984,0.0091,0.009
1442,Iteracao 1442,0.002762,0.0026,0.0025
1443,Iteracao 1443,0.00204,0.0019,0.0019
1444,Iteracao 1444,0.002729,0.0025,0.0025
1445,Iteracao 1445,0.001802,0.0017,0.0016
1446,Iteracao 1446,0.002536,0.0023,0.0023
1447,Iteracao 1447,0.002373,0.0021,0.0022
1448,Iteracao 1448,0.001867,0.0018,0.0017
1449,Iteracao 1449,0.002158,0.002,0.0019
1450,Iteracao 1450,0.00246,0.0023,0.0022
1451,Iteracao 1451,0.001834,0.0017,0.0017
1452,Iteracao 1452,0.002233,0.002,0.0021
1453,Iteracao 1453,0.008805,0.0083,0.0082
1454,Iteracao 1454,0.011362,0.0106,0.0106
1455,Iteracao 1455,0.00192,0.0018,0.0017
1456,Iteracao 1456,0.001586,0.0015,0.0014
1457,Iteracao 1457,0.019174,0.0179,0.0179
1458,Iteracao 1458,0.013854,0.013,0.0129
1459,Iteracao 1459,0.007111,0.0066,0.0067
1460,Iteracao 1460,0.002709,0.0025,0.0024
1461,Iteracao 1461,0.00751,0.007,0.007
1462,Iteracao 1462,0.019088,0.0177,0.0178
1463,Iteracao 1463,0.002255,0.0021,0.002
1464,Iteracao 1464,0.003377,0.0031,0.003
1465,Iteracao 1465,0.004607,0.0043,0.0042
1466,Iteracao 1466,0.00368,0.0026,0.0021
1467,Iteracao 1467,0.01202,0.0112,0.0112
1468,Iteracao 1468,0.01529,0.0142,0.0143
1469,Iteracao 1469,0.001758,0.0015,0.0016
1470,Iteracao 1470,0.00696,0.0065,0.0065
1471,Iteracao 1471,0.003507,0.0032,0.0033
1472,Iteracao 1472,0.006841,0.0063,0.0064
1473,Iteracao 1473,0.001931,0.0017,0.0018
1474,Iteracao 1474,0.001641,0.0015,0.0014
1475,Iteracao 1475,0.003086,0.0028,0.0028
1476,Iteracao 1476,0.002385,0.0022,0.0022
1477,Iteracao 1477,0.007045,0.0065,0.0066
1478,Iteracao 1478,0.002481,0.0023,0.0022
1479,Iteracao 1479,0.002039,0.0018,0.0019
1480,Iteracao 1480,0.006139,0.0056,0.0057
1481,Iteracao 1481,0.007714,0.0072,0.0072
1482,Iteracao 1482,0.01899,0.0177,0.0177
1483,Iteracao 1483,0.00711,0.0066,0.0066
1484,Iteracao 1484,0.003021,0.0028,0.0028
1485,Iteracao 1485,0.007056,0.0065,0.0066
1486,Iteracao 1486,0.001823,0.0017,0.0016
1487,Iteracao 1487,0.007996,0.0074,0.0075
1488,Iteracao 1488,0.002784,0.0026,0.0025
1489,Iteracao 1489,0.008827,0.0082,0.0081
1490,Iteracao 1490,0.001792,0.0016,0.0017
1491,Iteracao 1491,0.02063,0.0192,0.0193
1492,Iteracao 1492,0.001716,0.0015,0.0016
1493,Iteracao 1493,0.001823,0.0017,0.0017
1494,Iteracao 1494,0.018235,0.017,0.0171
1495,Iteracao 1495,0.001791,0.0016,0.0015
1496,Iteracao 1496,0.002309,0.0021,0.0021
1497,Iteracao 1497,0.014016,0.0131,0.0131
1498,Iteracao 1498,0.018591,0.0174,0.0173
1499,Iteracao 1499,0.001748,0.0016,0.0016
1500,Iteracao 1500,0.001813,0.0016,0.0016
1501,Iteracao 1501,0.013175,0.0123,0.0123
1502,Iteracao 1502,0.005934,0.0055,0.0055
1503,Iteracao 1503,0.02635,0.0245,0.0246
1504,Iteracao 1504,0.015527,0.0144,0.0145
1505,Iteracao 1505,0.00191,0.0017,0.0017
1506,Iteracao 1506,0.002169,0.002,0.002
1507,Iteracao 1507,0.018364,0.0171,0.0171
1508,Iteracao 1508,0.002763,0.0026,0.0025
1509,Iteracao 1509,0.001726,0.0016,0.0015
1510,Iteracao 1510,0.011103,0.0103,0.0104
1511,Iteracao 1511,0.007455,0.0069,0.0069
1512,Iteracao 1512,0.006938,0.0065,0.0064
1513,Iteracao 1513,0.020145,0.0187,0.0188
1514,Iteracao 1514,0.002202,0.002,0.002
1515,Iteracao 1515,0.002784,0.0026,0.0026
1516,Iteracao 1516,0.001889,0.0017,0.0017
1517,Iteracao 1517,0.002428,0.0022,0.0022
1518,Iteracao 1518,0.008772,0.0081,0.0082
1519,Iteracao 1519,0.006906,0.0065,0.0064
1520,Iteracao 1520,0.002018,0.0018,0.0019
1521,Iteracao 1521,0.009053,0.0084,0.0085
1522,Iteracao 1522,0.008977,0.0083,0.0083
1523,Iteracao 1523,0.002385,0.0021,0.0022
