n,Resultado,Tempo_Relogio(ms),Tempo_CPU_Usuario(ms),Tempo_CPU_Sistema(ms)
758,Iteracao 758,0.002205,0.002,0.002
759,Iteracao 759,0.005701,0.0053,0.0053
760,Iteracao 760,0.001969,0.0018,0.0018
761,Iteracao 761,0.002108,0.002,0.0019
762,Iteracao 762,0.058858,0.0557,0.0563
763,Iteracao 763,0.003722,0.0034,0.0034
764,Iteracao 764,0.09971,0.0935,0.0944
765,Iteracao 765,0.014661,0.0137,0.0141
766,Iteracao 766,0.002356,0.0021,0.0021
767,Iteracao 767,0.003851,0.0036,0.0035
768,Iteracao 768,0.006874,0.0064,0.0064
769,Iteracao 769,0.002,0.0019,0.0018
770,Iteracao 770,0.005658,0.0053,0.0053
771,Iteracao 771,0.002098,0.002,0.0019
772,Iteracao 772,0.006733,0.0063,0.0062
773,Iteracao 773,0.002044,0.0019,0.0018
774,Iteracao 774,0.006304,0.0058,0.0058
775,Iteracao 775,0.002183,0.002,0.002
776,Iteracao 776,0.004635,0.0043,0.0043
777,Iteracao 777,0.004453,0.0041,0.0041
778,Iteracao 778,0.185544,0.1739,0.175
779,Iteracao 779,0.004302,0.0039,0.0039
780,Iteracao 780,0.003668,0.0034,0.0037
781,Iteracao 781,0.119717,0.1131,0.1137
782,Iteracao 782,0.030182,0.0281,0.0282
783,Iteracao 783,0.053836,0.0522,0.0538
784,Iteracao 784,0.007928,0.0073,0.0074
785,Iteracao 785,0.002893,0.0026,0.0028
786,Iteracao 786,0.002646,0.0025,0.0023
787,Iteracao 787,0.014263,0.0132,0.0133
788,Iteracao 788,0.064343,0.0606,0.0612
789,Iteracao 789,0.003431,0.0032,0.0031
790,Iteracao 790,0.05974,0.056,0.0566
791,Iteracao 791,0.072529,0.0679,0.0683
792,Iteracao 792,0.008605,0.008,0.0079
793,Iteracao 793,0.005496,0.0052,0.0053
794,Iteracao 794,0.003464,0.0031,0.0029
795,Iteracao 795,0.01266,0.0118,0.0122
796,Iteracao 796,0.015854,0.0154,0.0155
