rotulo fase id_evento id_estrutura tempo endereco tamanho
L 0 248 0 0.185416624 0 32
L 0 249 0 0.185419028 1 32
L 0 250 0 0.185419899 2 32
L 0 251 0 0.185420717 3 32
L 0 252 0 0.185481509 50 32
L 0 253 0 0.185483012 0 32
L 0 254 0 0.185487353 1 32
L 0 255 0 0.185489250 2 32
L 0 256 0 0.185490845 3 32
L 0 257 0 0.185660456 51 32
L 0 258 0 0.185663689 0 32
L 0 259 0 0.185666041 1 32
L 0 260 0 0.185666963 2 32
L 0 261 0 0.185668776 3 32
L 0 262 0 0.185733154 52 32
L 0 263 0 0.185734200 0 32
L 0 264 0 0.185736055 1 32
L 0 265 0 0.185736884 2 32
L 0 266 0 0.185738728 3 32
L 0 267 0 0.185841434 53 32
L 0 268 0 0.185844884 0 32
L 0 269 0 0.185846780 1 32
L 0 270 0 0.185848645 2 32
L 0 271 0 0.185849951 3 32
L 0 272 0 0.185949050 54 32
L 0 273 0 0.185953506 0 32
L 0 274 0 0.185955754 1 32
L 0 275 0 0.185956811 2 32
L 0 276 0 0.185958790 3 32
L 0 277 0 0.186179086 55 32
L 0 278 0 0.186182567 0 32
L 0 279 0 0.186185479 1 32
L 0 280 0 0.186186360 2 32
L 0 281 0 0.186187831 3 32
L 0 282 0 0.186516432 56 32
L 0 283 0 0.186519406 0 32
L 0 284 0 0.186521333 1 32
L 0 285 0 0.186522203 2 32
L 0 286 0 0.186523830 3 32
L 0 287 0 0.186602786 57 32
L 0 288 0 0.186604558 0 32
L 0 289 0 0.186606154 1 32
L 0 290 0 0.186606910 2 32
L 0 291 0 0.186608174 3 32
L 0 292 0 0.186646378 58 32
L 0 293 0 0.186647031 0 32
L 0 294 0 0.186648305 1 32
L 0 295 0 0.186648999 2 32
L 0 296 0 0.186650233 3 32
L 0 297 0 0.187311511 59 32
L 0 298 0 0.187317874 0 32
L 0 299 0 0.187320992 1 32
L 0 300 0 0.187322174 2 32
L 0 301 0 0.187323168 3 32
L 0 302 0 0.187474263 60 32
L 0 303 0 0.187476646 0 32
L 0 304 0 0.187478843 1 32
L 0 305 0 0.187479754 2 32
L 0 306 0 0.187481910 3 32
L 0 307 0 0.190484120 61 32
L 0 308 0 0.190498305 0 32
L 0 309 0 0.190506511 1 32
L 0 310 0 0.190507744 2 32
L 0 311 0 0.190510128 3 32
